3	77.134	70.651
4	66.4850775131	32.5108856974
5	51.0656973836	30.0449837828
6	53.1479301286	6.9024449958
8	56.7898598127	42.9959925638
11	59.7803578073	32.7234283631
12	44.4141538733	18.9049365866
13	71.0929	71.6505
14	67.6357395122	25.2248709897
1	64.9740051913	14.7137207936
2	66.9482318936	44.3846490217
3	77.134	70.651
4	66.0479000101	32.8981889303
5	50.6976199063	30.807688718
6	53.6119082551	7.3418661206
11	59.8765430835	34.127172864
12	43.3580187054	20.3944338792
13	71.0929	71.6505
14	66.8876079878	25.9450651284
1	65.601918115	15.4598234485
2	67.1411697637	44.8584689746
8	0	0
3	77.134	70.651
4	66.0108267069	34.6221401269
5	50.6657547011	31.022111681
6	53.961715194	7.8916113251
8	56.884489525	44.6902253226
11	59.6957594496	35.1794004704
12	42.9068583454	22.7343821048
13	71.0929	71.6505
14	65.7657411955	27.8614302309
1	65.7267781378	16.4435639348
2	67.2995514849	46.0763597448
3	77.134	70.651
4	66.2180848189	36.909024157
5	51.0985277961	31.4709440866
6	54.1661103123	8.5666743128
8	56.9901749537	46.0431389573
11	59.586170494	35.830326864
12	43.1625370036	25.7253158616
13	71.0929	71.6505
14	65.1223890112	29.9575290252
1	65.4822142933	17.6187681048
2	67.4516001309	47.7754491638
3	77.134	70.651
4	66.2790121918	38.888388619
5	51.4670300203	32.9670445865
6	54.3335239989	9.4491574285
11	59.7199467938	36.8341856755
12	43.8637957195	28.7241564387
13	71.0929	71.6505
14	65.4914030722	31.3001272328
1	65.2243057939	18.6109767197
2	67.7935140606	48.7738946667
8	0	0
3	77.134	70.651
4	66.3797084421	40.4526369342
5	51.6684811904	35.2485275533
6	54.6892831592	10.4568911101
11	59.7851231328	38.6598174699
12	44.8710901538	31.5381497957
13	71.0929	71.6505
14	66.3724470147	32.1740573638
1	65.2505377081	19.4028567109
2	68.0919153843	49.1639539959
8	0	0
3	77.134	70.651
4	66.9054929773	41.7910862189
5	52.1518973999	37.6652842323
6	55.2697828469	11.4244796735
11	59.6786115469	40.8792058665
12	46.2970548269	34.6522660143
13	71.0929	71.6505
14	67.3029396964	32.8356979806
1	65.7440007215	20.1205229795
2	68.0595197943	50.1729083872
8	0	0
3	77.134	70.651
4	67.4560592959	43.3392944288
5	52.8623570378	39.7360186268
6	55.9301911035	12.253583916
11	59.8130486999	42.7770790769
12	47.5929893362	38.156149517
13	71.0929	71.6505
14	68.159335629	33.4211493302
1	66.6386817934	21.1234650333
2	67.8002169447	51.9153022965
8	0	0
3	77.134	70.651
4	67.5704763989	45.3752028208
5	53.1402109489	41.2523754727
6	56.6337580499	13.2282832472
11	60.1053078522	44.7460293555
12	48.3195257685	41.4972069467
13	71.0929	71.6505
14	68.6205821324	34.2812305648
1	67.5145524633	22.5162365886
2	67.4063845595	53.9859999985
8	0	0
3	77.134	70.651
4	67.6152484027	47.2525346689
5	53.1230383775	42.2453067132
6	57.3443153145	14.4981707327
11	60.3295138148	46.8567243469
12	48.8771212553	44.2473745809
13	71.0929	71.6505
14	68.5890052138	35.5433034573
1	68.0296313906	24.0437617886
2	66.7643609271	56.2493846501
8	0	0
3	77.134	70.651
4	68.2569486584	48.3171827111
5	53.296069203	43.0214924158
6	58.0386701248	15.7882904745
11	60.9241743949	48.6620838009
