1 1890 660
2 1892 660
3 1908 658
4 1916 654
5 1916 652
6 1912 652
7 1916 650
8 1922 648
9 1938 646
10 1958 640
11 1972 636
12 1978 632
13 1992 626
14 2000 622
15 2014 612
16 2020 612
17 2038 606
18 2040 604
19 2040 604
20 2042 602
21 2042 602
22 2050 608
23 2058 604
24 2064 598
25 2066 596
26 2072 588
27 2080 586
28 2086 584
29 2096 582
30 2098 582
31 2098 582
32 2098 582
33 2102 578
34 2108 578
35 2118 572
36 2124 572
37 2128 576
38 2126 576
39 2134 570
40 2138 570
41 2140 568
42 2144 566
43 2144 564
44 2148 564
45 2150 564
46 2152 564
47 2152 564
48 2152 564
49 2156 562
50 2160 562
51 2160 562
52 2160 564
53 2174 564
54 2174 564
55 2178 564
56 2182 564
57 2182 564
58 2182 564
59 2182 564
60 2182 564
61 2182 564
62 2194 566
63 2198 566
64 2214 566
65 2224 566
66 2244 566
67 2254 568
68 2272 572
69 2278 572
70 2286 574
71 2288 576
72 2314 576
73 2328 576
74 2342 576
75 2342 576
